ID,Sex,Twin,BirthYear,Survival,Lifespan,MotherID,FatherID,MumAge,DadAge,MumAgeClass,DadAgeClass,MumLifespan,DadLifespan
93,Male,0,1988,0,0,80,30,1,1,AdultMum,AdultDad,2,2
94,Female,0,1988,0,0,122,10,0,4,LambMum,AdultDad,10,3
95,Male,1,1988,0,0,36,52,4,0,AdultMum,LambDad,6,1
96,Male,0,1988,0,0,64,35,3,1,AdultMum,AdultDad,6,2
97,Female,0,1988,0,0,34,10,4,4,AdultMum,AdultDad,11,3
98,Female,0,1988,0,0,69,17,2,2,AdultMum,AdultDad,9,9
99,Male,0,1988,0,0,68,57,2,0,AdultMum,LambDad,3,1
100,Female,0,1988,0,0,85,45,1,0,AdultMum,LambDad,11,1
101,Male,0,1988,0,0,116,44,0,0,LambMum,LambDad,1,1
102,Male,0,1988,0,0,43,12,4,3,AdultMum,AdultDad,9,7
103,Male,0,1988,0,0,112,12,0,3,LambMum,AdultDad,7,7
104,Male,0,1988,0,0,9,23,7,1,AdultMum,AdultDad,3,2
105,Male,0,1988,0,0,128,4,0,7,LambMum,AdultDad,10,3
106,Male,0,1988,0,0,111,58,0,0,LambMum,LambDad,2,1
107,Female,0,1988,0,0,125,20,0,1,LambMum,AdultDad,7,2
108,Female,0,1988,0,0,108,49,0,0,LambMum,LambDad,1,1
109,Female,0,1988,1,1,58,8,3,4,AdultMum,AdultDad,6,3
110,Female,0,1988,0,0,16,9,7,4,AdultMum,AdultDad,6,4
111,Female,0,1988,0,0,120,20,0,1,LambMum,AdultDad,1,2
112,Female,1,1988,0,0,14,38,7,1,AdultMum,AdultDad,3,2
113,Female,1,1988,0,0,22,19,6,1,AdultMum,AdultDad,3,2
114,Female,0,1988,0,0,124,15,0,2,LambMum,AdultDad,11,3
115,Female,0,1988,0,0,61,38,3,1,AdultMum,AdultDad,9,2
116,Female,0,1988,0,0,25,29,5,1,AdultMum,AdultDad,3,2
